qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3,q1_ms,q2_ms,q3_ms,race_name,year,round,circuitId,era,full_name,nationality,constructor_name,circuit_name,country,positionOrder,points,grid,dnf,grid_vs_finish,best_qual_ms,q1_vs_team_avg_ms,reached_q2,reached_q3
1,18,1,1,22,1,1:26.572,1:25.187,1:26.714,86572.0,85187.0,86714.0,Australian Grand Prix,2008,1,1,V8,Lewis Hamilton,British,McLaren,Albert Park Grand Prix Circuit,Australia,1,10.0,1,False,0.0,86714.0,454.0,1,1
2,18,9,2,4,2,1:26.103,1:25.315,1:26.869,86103.00000000001,85315.0,86869.0,Australian Grand Prix,2008,1,1,V8,Robert Kubica,Polish,BMW Sauber,Albert Park Grand Prix Circuit,Australia,9,0.0,2,True,-7.0,86869.0,71.5,1,1
3,18,5,1,23,3,1:25.664,1:25.452,1:27.079,85664.0,85452.0,87079.00000000001,Australian Grand Prix,2008,1,1,V8,Heikki Kovalainen,Finnish,McLaren,Albert Park Grand Prix Circuit,Australia,5,4.0,3,False,-2.0,87079.00000000001,-454.0,1,1
4,18,13,6,2,4,1:25.994,1:25.691,1:27.178,85994.0,85691.0,87178.0,Australian Grand Prix,2008,1,1,V8,Felipe Massa,Brazilian,Ferrari,Albert Park Grand Prix Circuit,Australia,13,0.0,4,True,-9.0,87178.0,-73.0,1,1
5,18,2,2,3,5,1:25.960,1:25.518,1:27.236,85960.00000000001,85518.0,87236.0,Australian Grand Prix,2008,1,1,V8,Nick Heidfeld,German,BMW Sauber,Albert Park Grand Prix Circuit,Australia,2,8.0,5,False,3.0,87236.0,-71.5,1,1
6,18,15,7,11,6,1:26.427,1:26.101,1:28.527,86426.99999999999,86101.0,88527.0,Australian Grand Prix,2008,1,1,V8,Jarno Trulli,Italian,Toyota,Albert Park Grand Prix Circuit,Australia,15,0.0,6,True,-9.0,88527.0,-246.00000000001455,1,1
7,18,3,3,7,7,1:26.295,1:26.059,1:28.687,86295.0,86059.0,88687.0,Australian Grand Prix,2008,1,1,V8,Nico Rosberg,German,Williams,Albert Park Grand Prix Circuit,Australia,3,6.0,7,False,4.0,88687.0,-298.0,1,1
8,18,14,9,9,8,1:26.381,1:26.063,1:29.041,86381.0,86063.0,89041.0,Australian Grand Prix,2008,1,1,V8,David Coulthard,British,Red Bull,Albert Park Grand Prix Circuit,Australia,14,0.0,8,True,-6.0,89041.0,-266.5,1,1
9,18,10,7,12,9,1:26.919,1:26.164,1:29.593,86919.0,86164.0,89593.0,Australian Grand Prix,2008,1,1,V8,Timo Glock,German,Toyota,Albert Park Grand Prix Circuit,Australia,10,0.0,18,True,8.0,89593.0,246.0,1,1
10,18,20,5,15,10,1:26.702,1:25.842,,86702.0,85842.0,,Australian Grand Prix,2008,1,1,V8,Sebastian Vettel,German,Toro Rosso,Albert Park Grand Prix Circuit,Australia,20,0.0,9,True,-11.0,85842.0,-372.0,1,0
11,18,22,11,17,11,1:26.369,1:26.173,,86369.0,86173.0,,Australian Grand Prix,2008,1,1,V8,Rubens Barrichello,Brazilian,Honda,Albert Park Grand Prix Circuit,Australia,22,0.0,10,True,-12.0,86173.0,-171.5,1,0
12,18,4,4,5,12,1:26.907,1:26.188,,86907.0,86188.0,,Australian Grand Prix,2008,1,1,V8,Fernando Alonso,Spanish,Renault,Albert Park Grand Prix Circuit,Australia,4,5.0,11,False,7.0,86188.0,-711.5,1,0
13,18,18,11,16,13,1:26.712,1:26.259,,86712.0,86259.0,,Australian Grand Prix,2008,1,1,V8,Jenson Button,British,Honda,Albert Park Grand Prix Circuit,Australia,18,0.0,12,True,-6.0,86259.0,171.5,1,0
14,18,6,3,8,14,1:26.891,1:26.413,,86890.99999999999,86413.0,,Australian Grand Prix,2008,1,1,V8,Kazuki Nakajima,Japanese,Williams,Albert Park Grand Prix Circuit,Australia,6,3.0,13,False,7.0,86413.0,297.99999999998545,1,0
15,18,17,9,10,15,1:26.914,,,86914.0,,,Australian Grand Prix,2008,1,1,V8,Mark Webber,Australian,Red Bull,Albert Park Grand Prix Circuit,Australia,17,0.0,14,True,-3.0,86914.0,266.5,0,0
