constructorId,constructor_name,year,era,entries,total_dnfs,mechanical_dnfs,accident_dnfs,other_dnfs,total_points,total_wins,pts_lost_to_dnf,dnf_rate,mechanical_dnf_rate,reliability_index,rolling3_reliability,era_reliability,era_mech_dnf_rate
1,McLaren,1968,Pre-V10,2,1,0,1,0,0.0,0,4.0,0.5,0.0,0.5,0.5,0.5855181023720349,0.23470661672908863
1,McLaren,1971,Pre-V10,27,15,9,4,2,13.0,0,0.0,0.5555555555555556,0.3333333333333333,0.4444444444444444,0.4722222222222222,0.5855181023720349,0.23470661672908863
1,McLaren,1972,Pre-V10,25,4,4,0,0,66.0,1,0.0,0.16,0.16,0.84,0.5948148148148148,0.5855181023720349,0.23470661672908863
1,McLaren,1973,Pre-V10,35,9,5,4,0,68.0,3,2.0,0.2571428571428571,0.14285714285714285,0.7428571428571429,0.6757671957671958,0.5855181023720349,0.23470661672908863
1,McLaren,1974,Pre-V10,46,12,7,5,0,87.0,4,0.0,0.2608695652173913,0.15217391304347827,0.7391304347826086,0.7739958592132505,0.5855181023720349,0.23470661672908863
1,McLaren,1975,Pre-V10,29,10,3,5,2,65.0,3,6.0,0.3448275862068966,0.10344827586206896,0.6551724137931034,0.7123866638109516,0.5855181023720349,0.23470661672908863
1,McLaren,1976,Pre-V10,32,10,5,4,1,88.0,6,1.0,0.3125,0.15625,0.6875,0.6939342828585707,0.5855181023720349,0.23470661672908863
1,McLaren,1977,Pre-V10,52,27,12,9,6,65.0,3,0.0,0.5192307692307693,0.23076923076923078,0.4807692307692307,0.607813881520778,0.5855181023720349,0.23470661672908863
1,McLaren,1978,Pre-V10,55,31,8,15,8,16.0,0,0.0,0.5636363636363636,0.14545454545454545,0.4363636363636364,0.5348776223776225,0.5855181023720349,0.23470661672908863
1,McLaren,1979,Pre-V10,30,16,10,4,2,15.0,0,6.0,0.5333333333333333,0.3333333333333333,0.4666666666666667,0.46126651126651125,0.5855181023720349,0.23470661672908863
1,McLaren,1980,Pre-V10,28,15,9,2,4,11.0,0,4.0,0.5357142857142857,0.32142857142857145,0.4642857142857143,0.4557720057720058,0.5855181023720349,0.23470661672908863
1,McLaren,1981,Pre-V10,30,15,6,7,2,28.0,1,8.0,0.5,0.2,0.5,0.476984126984127,0.5855181023720349,0.23470661672908863
1,McLaren,1982,Pre-V10,29,12,8,3,1,69.0,4,3.0,0.41379310344827586,0.27586206896551724,0.5862068965517242,0.5168308702791462,0.5855181023720349,0.23470661672908863
1,McLaren,1983,Pre-V10,30,18,10,4,4,34.0,1,0.0,0.6,0.3333333333333333,0.4,0.4954022988505747,0.5855181023720349,0.23470661672908863
1,McLaren,1984,Pre-V10,32,11,7,4,0,143.5,12,3.0,0.34375,0.21875,0.65625,0.547485632183908,0.5855181023720349,0.23470661672908863
1,McLaren,1985,Pre-V10,31,15,11,3,1,90.0,6,1.0,0.4838709677419355,0.3548387096774194,0.5161290322580645,0.5241263440860214,0.5855181023720349,0.23470661672908863
1,McLaren,1986,Pre-V10,32,15,12,1,2,96.0,4,30.0,0.46875,0.375,0.53125,0.5678763440860215,0.5855181023720349,0.23470661672908863
1,McLaren,1987,Pre-V10,32,11,9,2,0,76.0,3,8.0,0.34375,0.28125,0.65625,0.5678763440860215,0.5855181023720349,0.23470661672908863
1,McLaren,1988,Pre-V10,32,5,2,2,1,199.0,15,1.0,0.15625,0.0625,0.84375,0.6770833333333334,0.5855181023720349,0.23470661672908863
1,McLaren,1989,Pre-V10,32,11,5,4,2,141.0,10,6.0,0.34375,0.15625,0.65625,0.71875,0.5855181023720349,0.23470661672908863
1,McLaren,1990,Pre-V10,32,10,5,5,0,121.0,6,0.0,0.3125,0.15625,0.6875,0.7291666666666666,0.5855181023720349,0.23470661672908863
1,McLaren,1991,Pre-V10,32,10,9,1,0,139.0,8,18.0,0.3125,0.28125,0.6875,0.6770833333333334,0.5855181023720349,0.23470661672908863
1,McLaren,1992,Pre-V10,32,14,10,4,0,99.0,5,2.0,0.4375,0.3125,0.5625,0.6458333333333334,0.5855181023720349,0.23470661672908863
1,McLaren,1993,Pre-V10,32,15,7,8,0,84.0,5,10.0,0.46875,0.21875,0.53125,0.59375,0.5855181023720349,0.23470661672908863
1,McLaren,1994,Pre-V10,32,20,15,5,0,42.0,0,12.0,0.625,0.46875,0.375,0.4895833333333333,0.5855181023720349,0.23470661672908863
1,McLaren,1995,V10,34,16,11,4,1,30.0,0,1.0,0.47058823529411764,0.3235294117647059,0.5294117647058824,0.4785539215686274,0.6559139784946236,0.24193548387096775
1,McLaren,1996,V10,32,12,6,6,0,49.0,0,12.0,0.375,0.1875,0.625,0.5098039215686274,0.6559139784946236,0.24193548387096775
1,McLaren,1997,V10,34,17,11,5,1,63.0,3,7.0,0.5,0.3235294117647059,0.5,0.551470588235294,0.6559139784946236,0.24193548387096775
1,McLaren,1998,V10,32,7,5,2,0,156.0,9,0.0,0.21875,0.15625,0.78125,0.6354166666666666,0.6559139784946236,0.24193548387096775
1,McLaren,1999,V10,32,12,9,3,0,124.0,7,0.0,0.375,0.28125,0.625,0.6354166666666666,0.6559139784946236,0.24193548387096775
1,McLaren,2000,V10,34,6,4,1,1,162.0,7,0.0,0.17647058823529413,0.11764705882352941,0.8235294117647058,0.7432598039215687,0.6559139784946236,0.24193548387096775
1,McLaren,2001,V10,34,12,12,0,0,102.0,4,2.0,0.35294117647058826,0.35294117647058826,0.6470588235294117,0.698529411764706,0.6559139784946236,0.24193548387096775
1,McLaren,2002,V10,34,15,12,3,0,65.0,1,2.0,0.4411764705882353,0.35294117647058826,0.5588235294117647,0.676470588235294,0.6559139784946236,0.24193548387096775
1,McLaren,2003,V10,32,8,5,3,0,142.0,2,0.0,0.25,0.15625,0.75,0.6519607843137254,0.6559139784946236,0.24193548387096775
1,McLaren,2004,V10,36,12,10,2,0,69.0,1,0.0,0.3333333333333333,0.2777777777777778,0.6666666666666667,0.6584967320261438,0.6559139784946236,0.24193548387096775
1,McLaren,2005,V10,38,11,5,3,3,182.0,10,4.0,0.2894736842105263,0.13157894736842105,0.7105263157894737,0.7090643274853802,0.6559139784946236,0.24193548387096775
1,McLaren,2006,V8,36,13,5,8,0,110.0,0,0.0,0.3611111111111111,0.1388888888888889,0.6388888888888888,0.6720272904483431,0.8231292517006803,0.07142857142857142
1,McLaren,2007,V8,34,2,0,2,0,218.0,8,0.0,0.058823529411764705,0.0,0.9411764705882353,0.7635305584221993,0.8231292517006803,0.07142857142857142
1,McLaren,2008,V8,36,5,3,2,0,151.0,6,1.0,0.1388888888888889,0.08333333333333333,0.8611111111111112,0.8137254901960785,0.8231292517006803,0.07142857142857142
